award_year,category,prize,prize_share,laureate_id,laureate_type,full_name,birth_year,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_year,death_city,death_country
1981,Physics,The Nobel Prize in Physics 1981,4-Jan,118,Individual,Nicolaas Bloembergen,1920,Dordrecht,Netherlands,Male,Harvard University,"""Cambridge, MA""",United States of America,null,null,null
1992,Medicine,The Nobel Prize in Physiology or Medicine 1992,2-Jan,446,Individual,Edmond H. Fischer,1920,Shanghai,China,Male,University of Washington,"""Seattle, WA""",United States of America,null,null,null
1975,Peace,The Nobel Peace Prize 1975,1-Jan,534,Individual,Andrei Dmitrievich Sakharov,1921,Moscow,Russia,Male,null,null,null,1989,Moscow,Union of Soviet Socialist Republics (Russia)
1973,Chemistry,The Nobel Prize in Chemistry 1973,2-Jan,245,Individual,Geoffrey Wilkinson,1921,Todmorden,United Kingdom,Male,Imperial College,London,United Kingdom,1996,London,United Kingdom
1981,Physics,The Nobel Prize in Physics 1981,4-Jan,119,Individual,Arthur Leonard Schawlow,1921,"""Mount Verno, NY""",United States of America,Male,Stanford University,"""Stanford, CA""",United States of America,1999,"""Palo Alto, CA""",United States of America
1983,Economics,The Sveriges Riksbank Prize in Economic Sciences 1983,1-Jan,697,Individual,Gerard Debreu,1921,Calais,France,Male,University of California,"""Berkeley, CA""",United States of America,2004,Paris,France
1984,Chemistry,The Nobel Prize in Chemistry 1984,1-Jan,261,Individual,Robert Bruce Merrifield,1921,"""Fort Worth, TX""",United States of America,Male,Rockefeller University,"""New York, NY""",United States of America,2006,"""Cresskill, NJ""",United States of America
1977,Medicine,The Nobel Prize in Physiology or Medicine 1977,2-Jan,413,Individual,Rosalyn Yalow,1921,"""New York, NY""",United States of America,Female,Veterans Administration Hospital,"""Bronx, NY""",United States of America,2011,"""New York, NY""",United States of America
2008,Physics,The Nobel Prize in Physics 2008,2-Jan,826,Individual,Yoichiro Nambu,1921,Tokyo,Japan,Male,"""Enrico Fermi Institute, University of Chicago""","""Chicago, IL""",United States of America,2015,Osaka,Japan
2005,Economics,The Sveriges Riksbank Prize in Economic Sciences 2005,2-Jan,800,Individual,Thomas C. Schelling,1921,"""Oakland, CA""",United States of America,Male,"""University of Maryland, Department of Economics and School of Public Policy""","""College Park, MD""",United States of America,2016,"""Bethesda, MD""",United States of America
1988,Physics,The Nobel Prize in Physics 1988,3-Jan,134,Individual,Jack Steinberger,1921,Bad Kissingen,Germany,Male,CERN,Geneva,Switzerland,null,null,null
1972,Economics,The Sveriges Riksbank Prize in Economic Sciences 1972,2-Jan,682,Individual,Kenneth J. Arrow,1921,"""New York, NY""",United States of America,Male,Harvard University,"""Cambridge, MA""",United States of America,null,null,null
1968,Medicine,The Nobel Prize in Physiology or Medicine 1968,3-Jan,388,Individual,Robert W. Holley,1922,"""Urbana, IL""",United States of America,Male,Cornell University,"""Ithaca, NY""",United States of America,1993,"""Los Gatos, CA""",United States of America
1994,Peace,The Nobel Peace Prize 1994,3-Jan,559,Individual,Yitzhak Rabin,1922,Jerusalem,British Mandate of Palestine (Israel),Male,null,null,null,1995,Tel Aviv,Israel
1964,Physics,The Nobel Prize in Physics 1964,4-Jan,82,Individual,Nicolay Gennadiyevich Basov,1922,Usman,Union of Soviet Socialist Republics (Russia),Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,2001,Moscow,Russia
1975,Physics,The Nobel Prize in Physics 1975,3-Jan,102,Individual,Aage Niels Bohr,1922,Copenhagen,Denmark,Male,Niels Bohr Institute,Copenhagen,Denmark,2009,Copenhagen,Denmark
1998,Literature,The Nobel Prize in Literature 1998,1-Jan,675,Individual,José Saramago,1922,Azinhaga,Portugal,Male,null,null,null,2010,Lanzarote,Spain
1968,Medicine,The Nobel Prize in Physiology or Medicine 1968,3-Jan,389,Individual,Har Gobind Khorana,1922,Raipur,India,Male,University of Wisconsin,"""Madison, WI""",United States of America,2011,"""Concord, MA""",United States of America
2018,Physics,The Nobel Prize in Physics 2018,2-Jan,960,Individual,Arthur Ashkin,1922,"""New York, NY""",USA,Male,Bell Laboratories,"""Holmdel, NJ""",United States of America,2020,"""Rumson, NJ""",United States of America
2019,Chemistry,The Nobel Prize in Chemistry 2019,3-Jan,976,Individual,John Goodenough,1922,Jena,Germany,Male,University of Texas,"""Austin, TX""",United States of America,2023,"""Austin, TX""",United States of America
1988,Physics,The Nobel Prize in Physics 1988,3-Jan,132,Individual,Leon M. Lederman,1922,"""New York, NY""",United States of America,Male,Fermi National Accelerator Laboratory,"""Batavia, IL""",United States of America,null,null,null
1989,Physics,The Nobel Prize in Physics 1989,4-Jan,136,Individual,Hans G. Dehmelt,1922,Görlitz,Prussia (Germany),Male,University of Washington,"""Seattle, WA""",United States of America,null,null,null
1957,Physics,The Nobel Prize in Physics 1957,2-Jan,68,Individual,Chen Ning Yang,1922,"""Hofei, Anhwei""",China,Male,Institute for Advanced Study,"""Princeton, NJ""",United States of America,null,null,null
1986,Medicine,The Nobel Prize in Physiology or Medicine 1986,2-Jan,434,Individual,Stanley Cohen,1922,"""Brooklyn, NY""",United States of America,Male,Vanderbilt University School of Medicine,"""Nashville, TN""",United States of America,null,null,null
1990,Economics,The Sveriges Riksbank Prize in Economic Sciences 1990,3-Jan,705,Individual,Merton H. Miller,1923,"""Boston, MA""",United States of America,Male,University of Chicago,"""Chicago, IL""",United States of America,2000,"""Chicago, IL""",United States of America
2000,Physics,The Nobel Prize in Physics 2000,2-Jan,728,Individual,Jack S. Kilby,1923,"""Jefferson City, MO""",United States of America,Male,Texas Instruments,"""Dallas, TX""",United States of America,2005,"""Dallas, TX""",United States of America
1976,Medicine,The Nobel Prize in Physiology or Medicine 1976,2-Jan,410,Individual,D. Carleton Gajdusek,1923,"""Yonkers, NY""",United States of America,Male,National Institutes of Health,"""Bethesda, MD""",United States of America,2008,Tromsø,Norway
1996,Literature,The Nobel Prize in Literature 1996,1-Jan,673,Individual,Wislawa Szymborska,1923,Bnin (Kórnik),Poland,Female,null,null,null,2012,Kraków,Poland
1991,Literature,The Nobel Prize in Literature 1991,1-Jan,668,Individual,Nadine Gordimer,1923,Springs,South Africa,Female,null,null,null,2014,Johannesburg,South Africa
1980,Physics,The Nobel Prize in Physics 1980,2-Jan,117,Individual,Val Logsdon Fitch,1923,"""Merriman, NE""",United States of America,Male,Princeton University,"""Princeton, NJ""",United States of America,2015,"""Princeton, NJ""",United States of America
2012,Economics,The Sveriges Riksbank Prize in Economic Sciences 2012,2-Jan,883,Individual,Lloyd S. Shapley,1923,"""Cambridge, MA""",United States of America,Male,University of California,"""Los Angeles, CA""",United States of America,2016,"""Tucson, AZ""",United States of America
1998,Chemistry,The Nobel Prize in Chemistry 1998,2-Jan,290,Individual,Walter Kohn,1923,Vienna,Austria,Male,University of California,"""Santa Barbara, CA""",United States of America,2016,"""Santa Barbara, CA""",United States of America
1994,Peace,The Nobel Peace Prize 1994,3-Jan,558,Individual,Shimon Peres,1923,Vishneva,Poland (Belarus),Male,null,null,null,2016,Tel Aviv,Israel
2000,Medicine,The Nobel Prize in Physiology or Medicine 2000,3-Jan,722,Individual,Arvid Carlsson,1923,Uppsala,Sweden,Male,Göteborg University,Gothenburg,Sweden,null,null,null
1973,Peace,The Nobel Peace Prize 1973,2-Jan,530,Individual,Henry A. Kissinger,1923,Fürth,Germany,Male,null,null,null,null,null,null
1992,Chemistry,The Nobel Prize in Chemistry 1992,1-Jan,277,Individual,Rudolph A. Marcus,1923,Montreal,Canada,Male,California Institute of Technology (Caltech),"""Pasadena, CA""",United States of America,null,null,null
1977,Physics,The Nobel Prize in Physics 1977,3-Jan,107,Individual,Philip Warren Anderson,1923,"""Indianapolis, IN""",United States of America,Male,Bell Telephone Laboratories,"""Murray Hill, NJ""",United States of America,null,null,null
1979,Medicine,The Nobel Prize in Physiology or Medicine 1979,2-Jan,417,Individual,Allan M. Cormack,1924,Johannesburg,South Africa,Male,Tufts University,"""Medford, MA""",United States of America,1998,"""Winchester, MA""",United States of America
1988,Medicine,The Nobel Prize in Physiology or Medicine 1988,3-Jan,437,Individual,Sir James W. Black,1924,Uddingston,Scotland,Male,"""London University, King's College Hospital Medical School""",London,United Kingdom,2010,null,null
1992,Physics,The Nobel Prize in Physics 1992,1-Jan,142,Individual,Georges Charpak,1924,Dabrovica,Poland,Male,École Supérieure de Physique et Chimie,Paris,France,2010,Paris,France
2009,Physics,The Nobel Prize in Physics 2009,4-Jan,839,Individual,Willard S. Boyle,1924,"""Amherst, NS""",Canada,Male,Bell Laboratories,"""Murray Hill, NJ""",United States of America,2011,"""Truro, NS""",Canada
1977,Medicine,The Nobel Prize in Physiology or Medicine 1977,4-Jan,411,Individual,Roger Guillemin,1924,Dijon,France,Male,The Salk Institute,"""San Diego, CA""",United States of America,null,null,null
1974,Physics,The Nobel Prize in Physics 1974,2-Jan,101,Individual,Antony Hewish,1924,Fowey,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,null,null,null
1981,Medicine,The Nobel Prize in Physiology or Medicine 1981,4-Jan,424,Individual,Torsten N. Wiesel,1924,Uppsala,Sweden,Male,Harvard Medical School,"""Boston, MA""",United States of America,null,null,null
1987,Economics,The Sveriges Riksbank Prize in Economic Sciences 1987,1-Jan,701,Individual,Robert M. Solow,1924,"""Brooklyn, NY""",United States of America,Male,Massachusetts Institute of Technology (MIT),"""Cambridge, MA""",United States of America,null,null,null
2002,Peace,The Nobel Peace Prize 2002,1-Jan,762,Individual,Jimmy Carter,1924,"""Plains, GA""",United States of America,Male,null,null,null,null,null,null
1994,Medicine,The Nobel Prize in Physiology or Medicine 1994,2-Jan,451,Individual,Martin Rodbell,1925,"""Baltimore, MD""",United States of America,Male,National Institute of Environmental Health Sciences,"""Research Triangle Park, NC""",United States of America,1998,"""Chapel Hill, NC""",United States of America
1998,Chemistry,The Nobel Prize in Chemistry 1998,2-Jan,291,Individual,John A. Pople,1925,Burnham-on-Sea,United Kingdom,Male,Northwestern University,"""Evanston, IL""",United States of America,2004,"""Chicago, IL""",United States of America
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,2-Jan,366,Individual,Joshua Lederberg,1925,"""Montclair, NJ""",United States of America,Male,University of Wisconsin,"""Madison, WI""",United States of America,2008,"""New York, NY""",United States of America
2000,Peace,The Nobel Peace Prize 2000,1-Jan,725,Individual,Kim Dae-jung,1925,Mokpo,Korea (South Korea),Male,null,null,null,2009,null,null
1984,Physics,The Nobel Prize in Physics 1984,2-Jan,125,Individual,Simon van der Meer,1925,the Hague,Netherlands,Male,CERN,Geneva,Switzerland,2011,Geneva,Switzerland
1976,Medicine,The Nobel Prize in Physiology or Medicine 1976,2-Jan,409,Individual,Baruch S. Blumberg,1925,"""New York, NY""",United States of America,Male,The Institute for Cancer Research,"""Philadelphia, PA""",United States of America,2011,"""Moffett Field, CA""",United States of America
2010,Medicine,The Nobel Prize in Physiology or Medicine 2010,1-Jan,848,Individual,Robert G. Edwards,1925,Batley,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,2013,Cambridge,United Kingdom
2007,Medicine,The Nobel Prize in Physiology or Medicine 2007,3-Jan,813,Individual,Oliver Smithies,1925,Halifax,United Kingdom,Male,University of North Carolina,"""Chapel Hill, NC""",United States of America,2017,"""Chapel Hill, NC""",United States of America
1973,Physics,The Nobel Prize in Physics 1973,4-Jan,97,Individual,Leo Esaki,1925,Osaka,Japan,Male,IBM Thomas J. Watson Research Center,"""Yorktown Heights, NY""",United States of America,null,null,null
2005,Physics,The Nobel Prize in Physics 2005,2-Jan,791,Individual,Roy J. Glauber,1925,"""New York, NY""",United States of America,Male,Harvard University,"""Cambridge, MA""",United States of America,null,null,null
2000,Medicine,The Nobel Prize in Physiology or Medicine 2000,3-Jan,723,Individual,Paul Greengard,1925,"""New York, NY""",United States of America,Male,Rockefeller University,"""New York, NY""",United States of America,null,null,null
1979,Physics,The Nobel Prize in Physics 1979,3-Jan,114,Individual,Abdus Salam,1926,Jhang Maghi&#257;na,India (Pakistan),Male,International Centre for Theoretical Physics,Trieste,Italy,1996,Oxford,United Kingdom
1990,Physics,The Nobel Prize in Physics 1990,3-Jan,139,Individual,Henry W. Kendall,1926,"""Boston, MA""",United States of America,Male,Massachusetts Institute of Technology (MIT),"""Cambridge, MA""",United States of America,1999,"""Wakulla Springs State Park, FL""",United States of America
1960,Physics,The Nobel Prize in Physics 1960,1-Jan,74,Individual,Donald Arthur Glaser,1926,"""Cleveland, OH""",United States of America,Male,University of California,"""Berkeley, CA""",United States of America,2013,"""Berkeley, CA""",United States of America
1981,Medicine,The Nobel Prize in Physiology or Medicine 1981,4-Jan,423,Individual,David H. Hubel,1926,"""Windsor, ON""",Canada,Male,Harvard Medical School,"""Boston, MA""",United States of America,2013,"""Lincoln, MA""",United States of America
2004,Chemistry,The Nobel Prize in Chemistry 2004,3-Jan,781,Individual,Irwin Rose,1926,"""Brooklyn, NY""",United States of America,Male,University of California,"""Irvine, CA""",United States of America,2015,"""Deerfield, MA""",United States of America
1997,Literature,The Nobel Prize in Literature 1997,1-Jan,674,Individual,Dario Fo,1926,Leggiuno-Sangiano,Italy,Male,null,null,null,2016,Milano,Italy
1980,Chemistry,The Nobel Prize in Chemistry 1980,2-Jan,254,Individual,Paul Berg,1926,"""New York, NY""",United States of America,Male,Stanford University,"""Stanford, CA""",United States of America,null,null,null
1975,Physics,The Nobel Prize in Physics 1975,3-Jan,103,Individual,Ben Roy Mottelson,1926,"""Chicago, IL""",United States of America,Male,Nordita,Copenhagen,Denmark,null,null,null
1982,Chemistry,The Nobel Prize in Chemistry 1982,1-Jan,259,Individual,Aaron Klug,1926,Zelvas,Lithuania,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,null,null,null
2002,Physics,The Nobel Prize in Physics 2002,4-Jan,754,Individual,Masatoshi Koshiba,1926,Toyohashi,Japan,Male,University of Tokyo,Tokyo,Japan,null,null,null
1957,Physics,The Nobel Prize in Physics 1957,2-Jan,69,Individual,Tsung-Dao (T.D.) Lee,1926,Shanghai,China,Male,Columbia University,"""New York, NY""",United States of America,null,null,null
1977,Medicine,The Nobel Prize in Physiology or Medicine 1977,4-Jan,412,Individual,Andrew V. Schally,1926,Wilno (Vilnius),Poland (Lithuania),Male,Veterans Administration Hospital,"""New Orleans, LA""",United States of America,null,null,null
1984,Medicine,The Nobel Prize in Physiology or Medicine 1984,3-Jan,431,Individual,César Milstein,1927,Bahia Blanca,Argentina,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2002,Cambridge,United Kingdom
1982,Medicine,The Nobel Prize in Physiology or Medicine 1982,3-Jan,427,Individual,John R. Vane,1927,Tardebigg,United Kingdom,Male,The Wellcome Research Laboratories,Beckenham,United Kingdom,2004,Farnborough,United Kingdom
2000,Chemistry,The Nobel Prize in Chemistry 2000,3-Jan,730,Individual,Alan G. MacDiarmid,1927,Masterton,New Zealand,Male,University of Pennsylvania,"""Philadelphia, PA""",United States of America,2007,"""Drexel Hill, PA""",United States of America
1968,Medicine,The Nobel Prize in Physiology or Medicine 1968,3-Jan,390,Individual,Marshall W. Nirenberg,1927,"""New York, NY""",United States of America,Male,National Institutes of Health,"""Bethesda, MD""",United States of America,2010,"""New York, NY""",United States of America
1995,Chemistry,The Nobel Prize in Chemistry 1995,3-Jan,283,Individual,F. Sherwood Rowland,1927,"""Delaware, OH""",United States of America,Male,University of California,"""Irvine, CA""",United States of America,2012,"""Corona del Mar, CA""",United States of America
1993,Economics,The Sveriges Riksbank Prize in Economic Sciences 1993,2-Jan,709,Individual,Robert W. Fogel,1927,"""New York, NY""",United States of America,Male,University of Chicago,"""Chicago, IL""",United States of America,2013,"""Oak Lawn, IL""",United States of America
1982,Literature,The Nobel Prize in Literature 1982,1-Jan,659,Individual,Gabriel García Márquez,1927,Aracataca,Colombia,Male,null,null,null,2014,Mexico City,Mexico
1995,Physics,The Nobel Prize in Physics 1995,2-Jan,147,Individual,Martin L. Perl,1927,"""New York, NY""",United States of America,Male,Stanford University,"""Stanford, CA""",United States of America,2014,"""Palo Alto, CA""",United States of America
1999,Literature,The Nobel Prize in Literature 1999,1-Jan,676,Individual,Günter Grass,1927,Danzig (Gdansk),Free City of Danzig (Poland),Male,null,null,null,2015,Lübeck,Germany
2002,Economics,The Sveriges Riksbank Prize in Economic Sciences 2002,2-Jan,760,Individual,Vernon L. Smith,1927,"""Wichita, KS""",United States of America,Male,George Mason University,"""Fairfax, VA""",United States of America,null,null,null
2002,Medicine,The Nobel Prize in Physiology or Medicine 2002,3-Jan,750,Individual,Sydney Brenner,1927,Germiston,South Africa,Male,The Molecular Sciences Institute,"""Berkeley, CA""",United States of America,null,null,null
1987,Physics,The Nobel Prize in Physics 1987,2-Jan,131,Individual,K. Alexander Müller,1927,Basel,Switzerland,Male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,null,null,null
1967,Chemistry,The Nobel Prize in Chemistry 1967,2-Jan,233,Individual,Manfred Eigen,1927,Bochum,Germany,Male,Max-Planck-Institut für Physikalische Chemie,Göttingen,Federal Republic of Germany,null,null,null
1994,Chemistry,The Nobel Prize in Chemistry 1994,1-Jan,280,Individual,George A. Olah,1927,Budapest,Hungary,Male,University of Southern California,"""Los Angeles, CA""",United States of America,null,null,null
1990,Economics,The Sveriges Riksbank Prize in Economic Sciences 1990,3-Jan,704,Individual,Harry M. Markowitz,1927,"""Chicago, IL""",United States of America,Male,City University of New York,"""New York, NY""",United States of America,null,null,null
1978,Medicine,The Nobel Prize in Physiology or Medicine 1978,3-Jan,415,Individual,Daniel Nathans,1928,"""Wilmington, DE""",United States of America,Male,Johns Hopkins University School of Medicine,"""Baltimore, MD""",United States of America,1999,"""Baltimore, MD""",United States of America
1994,Economics,The Sveriges Riksbank Prize in Economic Sciences 1994,3-Jan,712,Individual,John F. Nash Jr.,1928,"""Bluefield, WV""",United States of America,Male,Princeton University,"""Princeton, NJ""",United States of America,2015,"""New Jersey, NJ""",United States of America
1986,Peace,The Nobel Peace Prize 1986,1-Jan,548,Individual,Elie Wiesel,1928,Sighet,Romania,Male,null,null,null,2016,"""New York, NY""",United States of America
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,3-Jan,373,Individual,James Dewey Watson,1928,"""Chicago, IL""",United States of America,Male,Harvard University,"""Cambridge, MA""",United States of America,null,null,null
2003,Physics,The Nobel Prize in Physics 2003,3-Jan,766,Individual,Alexei A. Abrikosov,1928,Moscow,Union of Soviet Socialist Republics (Russia),Male,Argonne National Laboratory,"""Argonne, IL""",United States of America,null,null,null
1990,Chemistry,The Nobel Prize in Chemistry 1990,1-Jan,275,Individual,Elias James Corey,1928,"""Methuen, MA""",United States of America,Male,Harvard University,"""Cambridge, MA""",United States of America,null,null,null
2000,Physics,The Nobel Prize in Physics 2000,4-Jan,727,Individual,Herbert Kroemer,1928,Weimar,Germany,Male,University of California,"""Santa Barbara, CA""",United States of America,null,null,null
2008,Chemistry,The Nobel Prize in Chemistry 2008,3-Jan,829,Individual,Osamu Shimomura,1928,Kyoto,Japan,Male,Marine Biological Laboratory (MBL),"""Woods Hole, MA""",United States of America,null,null,null
1964,Peace,The Nobel Peace Prize 1964,1-Jan,524,Individual,Martin Luther King Jr.,1929,"""Atlanta, GA""",United States of America,Male,null,null,null,1968,"""Memphis, TN""",United States of America
1994,Peace,The Nobel Peace Prize 1994,3-Jan,557,Individual,Yasser Arafat,1929,Cairo,Egypt,Male,null,null,null,2004,null,null
2003,Medicine,The Nobel Prize in Physiology or Medicine 2003,2-Jan,764,Individual,Paul C. Lauterbur,1929,"""Sidney, OH""",United States of America,Male,University of Illinois,"""Urbana, IL""",United States of America,2007,"""Urbana, IL""",United States of America
1961,Physics,The Nobel Prize in Physics 1961,2-Jan,76,Individual,Rudolf Ludwig Mössbauer,1929,Munich,Germany,Male,Technical University,Munich,Federal Republic of Germany,2011,null,null
1972,Medicine,The Nobel Prize in Physiology or Medicine 1972,2-Jan,398,Individual,Gerald M. Edelman,1929,"""New York, NY""",United States of America,Male,Rockefeller University,"""New York, NY""",United States of America,2014,"""La Jolla, CA""",United States of America
2002,Literature,The Nobel Prize in Literature 2002,1-Jan,761,Individual,Imre Kertész,1929,Budapest,Hungary,Male,null,null,null,2016,Budapest,Hungary
1986,Chemistry,The Nobel Prize in Chemistry 1986,3-Jan,266,Individual,John C. Polanyi,1929,Berlin,Germany,Male,University of Toronto,Toronto,Canada,null,null,null
2014,Physics,The Nobel Prize in Physics 2014,3-Jan,906,Individual,Isamu Akasaki,1929,Chiran,Japan,Male,Meijo University,Nagoya,Japan,null,null,null
1973,Physics,The Nobel Prize in Physics 1973,4-Jan,98,Individual,Ivar Giaever,1929,Bergen,Norway,Male,General Electric Company,"""Schenectady, NY""",United States of America,null,null,null
2013,Physics,The Nobel Prize in Physics 2013,2-Jan,888,Individual,Peter W. Higgs,1929,Newcastle upon Tyne,United Kingdom,Male,University of Edinburgh,Edinburgh,United Kingdom,null,null,null
1978,Medicine,The Nobel Prize in Physiology or Medicine 1978,3-Jan,414,Individual,Werner Arber,1929,Gränichen,Switzerland,Male,Biozentrum der Universität,Basel,Switzerland,null,null,null
1969,Physics,The Nobel Prize in Physics 1969,1-Jan,90,Individual,Murray Gell-Mann,1929,"""New York, NY""",United States of America,Male,California Institute of Technology (Caltech),"""Pasadena, CA""",United States of America,null,null,null
1990,Physics,The Nobel Prize in Physics 1990,3-Jan,140,Individual,Richard E. Taylor,1929,"""Medicine Hat, Alberta""",Canada,Male,Stanford University,"""Stanford, CA""",United States of America,null,null,null
2000,Medicine,The Nobel Prize in Physiology or Medicine 2000,3-Jan,724,Individual,Eric R. Kandel,1929,Vienna,Austria,Male,Columbia University,"""New York, NY""",United States of America,null,null,null
2005,Literature,The Nobel Prize in Literature 2005,1-Jan,801,Individual,Harold Pinter,1930,London,United Kingdom,Male,null,null,null,2008,London,United Kingdom
1992,Economics,The Sveriges Riksbank Prize in Economic Sciences 1992,1-Jan,708,Individual,Gary S. Becker,1930,"""Pottsville, PA""",United States of America,Male,University of Chicago,"""Chicago, IL""",United States of America,2014,"""Chicago, IL""",United States of America
2005,Chemistry,The Nobel Prize in Chemistry 2005,3-Jan,794,Individual,Yves Chauvin,1930,Menin,Belgium,Male,Institut Français du Pétrole,Rueil-Malmaison,France,2015,Tours,France
1994,Economics,The Sveriges Riksbank Prize in Economic Sciences 1994,3-Jan,713,Individual,Reinhard Selten,1930,Breslau (Wroclaw),Germany (Poland),Male,Rheinische Friedrich-Wilhelms-Universität,Bonn,Federal Republic of Germany,2016,Poznan,Poland
1992,Literature,The Nobel Prize in Literature 1992,1-Jan,669,Individual,Derek Walcott,1930,Castries,Saint Lucia,Male,null,null,null,null,null,null
1972,Physics,The Nobel Prize in Physics 1972,3-Jan,95,Individual,Leon Neil Cooper,1930,"""New York, NY""",United States of America,Male,Brown University,"""Providence, RI""",United States of America,null,null,null
2000,Physics,The Nobel Prize in Physics 2000,4-Jan,726,Individual,Zhores I. Alferov,1930,"""Vitebsk, Belorussia""",Union of Soviet Socialist Republics (Belarus),Male,A.F. Ioffe Physico-Technical Institute,St. Petersburg,Russia,null,null,null
2013,Chemistry,The Nobel Prize in Chemistry 2013,3-Jan,889,Individual,Martin Karplus,1930,Vienna,Austria,Male,Université de Strasbourg,Strasbourg,France,null,null,null
1990,Physics,The Nobel Prize in Physics 1990,3-Jan,138,Individual,Jerome I. Friedman,1930,"""Chicago, IL""",United States of America,Male,Massachusetts Institute of Technology (MIT),"""Cambridge, MA""",United States of America,null,null,null
2009,Physics,The Nobel Prize in Physics 2009,4-Jan,840,Individual,George E. Smith,1930,"""White Plains, NY""",United States of America,Male,Bell Laboratories,"""Murray Hill, NJ""",United States of America,null,null,null
2005,Economics,The Sveriges Riksbank Prize in Economic Sciences 2005,2-Jan,799,Individual,Robert J. Aumann,1930,Frankfurt-on-the-Main,Germany,Male,"""University of Jerusalem, Center for RationalityHebrew""",Jerusalem,Israel,null,null,null
2015,Medicine,The Nobel Prize in Physiology or Medicine 2015,4-Jan,916,Individual,William C. Campbell,1930,Ramelton,Ireland,Male,Drew University,"""Madison, NJ""",United States of America,null,null,null
2010,Chemistry,The Nobel Prize in Chemistry 2010,3-Jan,853,Individual,Akira Suzuki,1930,Mukawa,Japan,Male,Hokkaido University,Sapporo,Japan,null,null,null
2015,Medicine,The Nobel Prize in Physiology or Medicine 2015,2-Jan,918,Individual,Youyou Tu,1930,Zhejiang Ningbo,China,Female,China Academy of Traditional Chinese Medicine,Beijing,China,null,null,null
2011,Literature,The Nobel Prize in Literature 2011,1-Jan,868,Individual,Tomas Tranströmer,1931,Stockholm,Sweden,Male,null,null,null,2015,Stockholm,Sweden
2010,Chemistry,The Nobel Prize in Chemistry 2010,3-Jan,851,Individual,Richard F. Heck,1931,"""Springfield, MA""",United States of America,Male,University of Delaware,null,United States of America,2015,Manila,Philippines
1980,Physics,The Nobel Prize in Physics 1980,2-Jan,116,Individual,James Watson Cronin,1931,"""Chicago, IL""",United States of America,Male,University of Chicago,"""Chicago, IL""",United States of America,2016,"""St. Paul, MN""",United States of America
1996,Physics,The Nobel Prize in Physics 1996,3-Jan,149,Individual,David M. Lee,1931,"""Rye, NY""",United States of America,Male,Cornell University,"""Ithaca, NY""",United States of America,null,null,null
1993,Literature,The Nobel Prize in Literature 1993,1-Jan,670,Individual,Toni Morrison,1931,"""Lorain, OH""",United States of America,Female,null,null,null,null,null,null
1990,Peace,The Nobel Peace Prize 1990,1-Jan,552,Individual,Mikhail Sergeyevich Gorbachev,1931,Privolnoye,Union of Soviet Socialist Republics (Russia),Male,null,null,null,null,null,null
1976,Physics,The Nobel Prize in Physics 1976,2-Jan,105,Individual,Burton Richter,1931,"""Brooklyn, NY""",United States of America,Male,Stanford Linear Accelerator Center,"""Stanford, CA""",United States of America,null,null,null
1972,Physics,The Nobel Prize in Physics 1972,3-Jan,96,Individual,John Robert Schrieffer,1931,"""Oak Park, IL""",United States of America,Male,University of Pennsylvania,"""Philadelphia, PA""",United States of America,null,null,null
1999,Physics,The Nobel Prize in Physics 1999,2-Jan,159,Individual,Martinus J.G. Veltman,1931,Waalwijk,Netherlands,Male,null,Bilthoven,Netherlands,null,null,null
2013,Literature,The Nobel Prize in Literature 2013,1-Jan,892,Individual,Alice Munro,1931,Wingham,Canada,Female,null,null,null,null,null,null
2020,Physics,The Nobel Prize in Physics 2020,2-Jan,988,Individual,Roger Penrose,1931,Colchester,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,null,null,null
1978,Medicine,The Nobel Prize in Physiology or Medicine 1978,3-Jan,416,Individual,Hamilton O. Smith,1931,"""New York, NY""",United States of America,Male,Johns Hopkins University School of Medicine,"""Baltimore, MD""",United States of America,null,null,null
2021,Physics,The Nobel Prize in Physics 2021,4-Jan,999,Individual,Syukuro Manabe,1931,Shingu Ehime,Japan,Male,Princeton University,"""Princeton, NJ""",United States of America,null,null,null
2002,Physics,The Nobel Prize in Physics 2002,2-Jan,755,Individual,Riccardo Giacconi,1931,Genoa,Italy,Male,Associated Universities Inc.,"""Washington, DC""",United States of America,null,null,null
1984,Peace,The Nobel Peace Prize 1984,1-Jan,546,Individual,Desmond Mpilo Tutu,1931,Klerksdorp,South Africa,Male,null,null,null,null,null,null
2021,Physics,The Nobel Prize in Physics 2021,4-Jan,1000,Individual,Klaus Hasselmann,1931,Hamburg,Germany,Male,Max Planck Institute for Meteorology,Hamburg,Germany,null,null,null
1980,Peace,The Nobel Peace Prize 1980,1-Jan,541,Individual,Adolfo Pérez Esquivel,1931,Buenos Aires,Argentina,Male,null,null,null,null,null,null
